#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA1	CETP	9606.ENSP00000363868	9606.ENSP00000200676	0	0	0	0	0	0	0	0.824	0.824
ABCA1	PON1	9606.ENSP00000363868	9606.ENSP00000222381	0	0	0	0	0.045	0	0	0.751	0.753
ABCA1	MPO	9606.ENSP00000363868	9606.ENSP00000225275	0	0	0	0	0	0	0	0.480	0.480
ABCA1	CCL2	9606.ENSP00000363868	9606.ENSP00000225831	0	0	0	0	0.085	0	0	0.512	0.534
ABCA1	APOB	9606.ENSP00000363868	9606.ENSP00000233242	0	0	0	0	0.057	0	0	0.848	0.851
ABCA1	APOE	9606.ENSP00000363868	9606.ENSP00000252486	0	0	0	0	0.063	0	0	0.918	0.921
ABCA1	CRP	9606.ENSP00000363868	9606.ENSP00000255030	0	0	0	0	0.061	0	0	0.426	0.437
ABCA1	IL1B	9606.ENSP00000363868	9606.ENSP00000263341	0	0	0	0	0.066	0	0	0.640	0.649
ABCA1	LCAT	9606.ENSP00000363868	9606.ENSP00000264005	0	0	0	0	0.062	0	0	0.847	0.850
ABCA1	ICAM1	9606.ENSP00000363868	9606.ENSP00000264832	0	0	0	0	0	0	0	0.422	0.422
ABCA1	APP	9606.ENSP00000363868	9606.ENSP00000284981	0	0	0	0	0.064	0	0	0.549	0.559
ABCA1	PPARG	9606.ENSP00000363868	9606.ENSP00000287820	0	0	0	0	0	0.076	0	0.827	0.833
ABCA1	HMGCR	9606.ENSP00000363868	9606.ENSP00000287936	0	0	0	0	0.062	0	0	0.719	0.725
ABCA1	VCAM1	9606.ENSP00000363868	9606.ENSP00000294728	0	0	0	0	0.096	0	0	0.497	0.526
ABCA1	NOS3	9606.ENSP00000363868	9606.ENSP00000297494	0	0	0	0	0.061	0.064	0	0.442	0.466
ABCA1	IGF1	9606.ENSP00000363868	9606.ENSP00000302665	0	0	0	0	0.062	0	0	0.533	0.543
ABCA1	CXCL8	9606.ENSP00000363868	9606.ENSP00000306512	0	0	0	0	0.063	0	0	0.588	0.597
ABCA1	OLR1	9606.ENSP00000363868	9606.ENSP00000309124	0	0	0	0	0.063	0	0	0.558	0.568
